Benchmark                                                                  (setSize)  Mode  Cnt         Score   Error  Units
impl.fastutil.FastUtilReadMapBenchmarks.getAVLTreeMap                            100    ss    2      4375,600          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getAVLTreeMap                           1000    ss    2      4075,750          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getAVLTreeMap                          10000    ss    2     10255,700          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getArrayMap                              100    ss    2      7767,950          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getArrayMap                             1000    ss    2     47050,350          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getArrayMap                            10000    ss    2    392599,200          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getLinkedMap                             100    ss    2      2184,250          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getLinkedMap                            1000    ss    2      2466,850          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getLinkedMap                           10000    ss    2      3304,500          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getMap                                   100    ss    2      2108,850          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getMap                                  1000    ss    2      1980,400          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getMap                                 10000    ss    2      3044,900          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultAVLTreeMap                   100    ss    2      5418,600          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultAVLTreeMap                  1000    ss    2      6964,050          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultAVLTreeMap                 10000    ss    2     13083,100          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultArrayMap                     100    ss    2     11723,600          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultArrayMap                    1000    ss    2     72685,000          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultArrayMap                   10000    ss    2    601609,700          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultLinkedMap                    100    ss    2      2091,400          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultLinkedMap                   1000    ss    2      3453,350          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultLinkedMap                  10000    ss    2      2835,800          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultMap                          100    ss    2      2221,450          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultMap                         1000    ss    2      2160,150          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultMap                        10000    ss    2      2732,500          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultRBTreeMap                    100    ss    2      5805,450          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultRBTreeMap                   1000    ss    2      5916,400          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getOrDefaultRBTreeMap                  10000    ss    2     12712,050          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getRBTreeMap                             100    ss    2      4310,850          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getRBTreeMap                            1000    ss    2      4280,800          us/op
impl.fastutil.FastUtilReadMapBenchmarks.getRBTreeMap                           10000    ss    2      9527,300          us/op
impl.fastutil.FastUtilReadMapBenchmarks.keySetAVLTreeMap                         100    ss    2      2958,550          us/op
impl.fastutil.FastUtilReadMapBenchmarks.keySetAVLTreeMap                        1000    ss    2     13476,750          us/op
impl.fastutil.FastUtilReadMapBenchmarks.keySetAVLTreeMap                       10000    ss    2     78426,450          us/op
impl.fastutil.FastUtilReadMapBenchmarks.keySetArrayMap                           100    ss    2      2343,300          us/op
